,country,gross_rental_yield_outside_of_centre,city_name,price_to_rent_ratio_outside_of_centre,house_price_to_income_ratio,affordability_index,mortgage_as_percentage_of_income,price_to_rent_ratio_city_centre,gross_rental_yield_city_centre,city_id
445,United States,15.280721981351961,"Orlando, FL",6.544193404083679,3.387028324314657,4.039983190655604,24.752578236290166,9.879631500467704,10.121835009257783,3462
446,United States,11.133450872363367,"Phoenix, AZ",8.981941102217517,3.371809882409647,4.102061374399788,24.377987278318567,12.184551929855292,8.207113447887586,3466
447,United States,16.05291645726526,"Tampa, FL",6.229397646602828,3.3527912542323084,4.063380020263119,24.610053576412632,12.569426307576872,7.955812584677776,3492
448,United States,17.586449076383122,"Milwaukee, WI",5.686196205139001,3.2886429636827357,4.176419912359137,23.943952499621364,10.096891339211108,9.904038445145158,3449
449,United States,15.45840877664161,"Fort Myers, FL",6.468971124059338,3.2391008659649407,4.128422268121555,24.222328411550865,12.131855623923604,8.242762121468328,7738
450,United States,12.625493136455518,"Raleigh, NC",7.920482702672001,3.1804429674876658,4.368963894112125,22.888721999915344,13.597951137710789,7.354049076016533,3470
451,United States,10.443087064997087,"Las Vegas, NV",9.575712562540804,3.1659430657692402,4.447950777284238,22.482263183014915,10.376187511649036,9.637451124291363,3438
452,United States,10.995904099998127,"Tucson, AZ",9.094295393137982,3.1493551496379046,4.412161259472823,22.66462944555845,12.28574267434624,8.139516075719964,3494
453,United States,11.47398363042615,"Albuquerque, NM",8.715368892005813,3.1428710343509816,4.473925458765574,22.351735835042625,13.600985960121697,7.352408148438765,3387
455,United States,10.134509669844178,"Olympia, WA",9.867275601655974,3.1101359675463884,4.289932490042662,23.310390136000844,9.701747196915305,10.307421742734675,7998
456,United States,16.78007307734304,"Knoxville, TN",5.95944961258977,3.0738137300125596,4.418779394864527,22.630683965852487,11.253574663830056,8.886065360316884,7420
457,United States,14.680235756345258,"Nashville, TN",6.8118797040965005,3.059943010586784,4.445792938126084,22.493175321419784,9.942070093848397,10.058267448936462,8029
458,United States,11.99809621943427,"Tallahassee, FL",8.334655612948165,3.0482087158813522,4.42576483060535,22.594964673331308,10.077129218350178,9.92346112004823,8022
459,United States,9.862746212355251,"Ann Arbor, MI",10.139163864393883,3.011392832513914,4.641205103304195,21.546128165895404,8.283809442900488,12.071740747936142,7859
