country,city,cities,state,latitude,longitude,city_id,Zip_Code,ALand,AWater,Mean,Median,Stdev,sum_w
United States,"Kansas City, KS",Kansas City, KS,39.10666667,-94.67638889,34571,66104,1603368,0,38996,36522,26791,328.52793
United States,"Kansas City, MO",Kansas City, MO,39.0997265,-94.5785667,3437,64116,6679458,0,97371,78531,69938,681.9808372
United States,"Katy, TX",Katy, TX,29.7857853,-95.8243956,12911,77494,50967733,351917,148987,141709,79025,315.1045104
United States,"Kennewick, WA",Kennewick, WA,46.2112458,-119.1372338,9031,99336,5949349,0,84754,72324,65172,708.7618962
United States,"Kenosha, WI",Kenosha, WI,42.5847425,-87.8211854,8358,53140,12141902,2214880,61404,57713,35324,137.5926236
United States,"Kent, WA",Kent, WA,47.3826903,-122.2270272,11883,98031,4234265,1686,120523,96477,66069,168.8827107
United States,"Key West, FL",Key West, FL,24.5548029,-81.7993906,10667,33040,4007767,45351214,64647,56938,46649,339.6512167
United States,"Kingsport, TN",Kingsport, TN,36.4905785,-82.51336623,11278,37664,21828105,105528,60934,39849,51599,1952.974794
United States,"Kissimmee, FL",Kissimmee, FL,28.2920249,-81.4078013,11389,34744,8292207,30790,66135,49968,56699,2685.065745
United States,"Klamath Falls, OR",Klamath Falls, OR,42.224867,-121.7816704,9227,97601,2484592226,223094408,48468,30667,46912,263.8542213
United States,"Knoxville, TN",Knoxville, TN,35.9606384,-83.9207392,7420,37922,41479643,435520,0,0,0,0
United States,"Kokomo, IN",Kokomo, IN,40.486427,-86.1336033,8430,46901,2542880,0,33544,27535,26756,649.3450913
United States,"La Crosse, WI",La Crosse, WI,43.8013556,-91.2395807,10183,54603,5849763,320682,38478,24465,44313,165.1590777
United States,"Lafayette, IN",Lafayette, IN,40.4167022,-86.8752869,7642,47905,1526651,0,59757,49290,48744,281.6539673
United States,"Lafayette, LA",Lafayette, LA,30.2240897,-92.0198427,9568,70506,3822404,0,68117,38530,65284,270.2854875
United States,"Lake Charles, LA",Lake Charles, LA,30.2265949,-93.2173759,8579,70601,4455424,3920832,72797,50839,62618,949.0941358
United States,"Lakeland, FL",Lakeland, FL,28.0394654,-81.9498042,11186,33801,4927487,1117567,38865,33887,27126,236.0229218
United States,"Lancaster, CA",Lancaster, CA,34.6981064,-118.1366153,10835,93535,235291631,131773,53182,38578,53018,242.949616
United States,"Lancaster, PA",Lancaster, PA,40.0378755,-76.3055144,7696,17602,1484166,37829,73250,300000,36009,68.19664773
United States,"Lansing, MI",Lansing, MI,42.7337712,-84.5553805,10015,48911,12509543,698660,49160,37095,43569,1252.335091
United States,"Laramie, WY",Laramie, WY,41.3113669,-105.5911007,9760,82070,43264735,0,23530,300000,23917,24.79987199
United States,"Laredo, TX",Laredo, TX,27.5060991,-99.5088979,11295,78045,4922524,0,30833,300000,12606,15
United States,"Las Cruces, NM",Las Cruces, NM,32.3199396,-106.7636538,7605,88001,5463596,0,68731,49039,58600,215.8885357
