city_id,health_care_index,crime_index,restaurant_price_index,climate_index,pollution_index,quality_of_life_index,cpi_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,traffic_index,median,mean,std_dev,sum_w
3451,53.968,66.571,63.122,87.535,33.764,158.196,70.984,1.8159999999999998,91.75399999999999,138.238,38231.0,53330.0,50855.0,51243.648369999995
3452,70.694,63.912,92.199,86.34299999999999,56.897,145.34799999999998,77.85,10.259,94.479,117.042,300000.0,70989.0,51662.0,358.3208531
3453,37.963,63.102,51.995,87.77600000000001,41.477,78.45,35.496,3.82,50.492,108.23200000000001,33114.0,32307.0,22159.0,219.15857430000003
3454,62.698,64.562,74.90899999999999,86.50399999999999,49.788999999999994,144.986,74.471,5.455,83.557,123.595,15203.0,21474.0,32578.0,187.4204966
3455,61.637,46.925,100.0,79.661,57.577,137.904,100.0,9.892999999999999,100.0,163.90900000000002,68128.0,76190.0,48883.0,199.4864111
3456,59.413999999999994,70.631,64.612,76.024,67.42,108.23299999999999,75.429,4.398,64.26,255.14700000000002,46850.0,52044.0,38310.0,510.2094489
3457,66.667,56.869,60.99,87.117,21.552,78.45,35.496,3.688,50.492,117.205,46300.0,53073.0,31759.0,638.779073
3459,78.905,63.816,73.148,96.404,35.394,159.03799999999998,88.60799999999999,7.972,91.307,164.985,63541.0,69451.0,51804.0,745.93188
3460,77.033,49.464,51.601000000000006,77.61399999999999,20.894000000000002,190.96,62.849,2.6460000000000004,110.17200000000001,113.60600000000001,300000.0,98020.0,58105.0,259.5158865
3461,75.861,45.417,60.268,59.79,29.7,180.898,69.97399999999999,2.577,106.00399999999999,100.05799999999999,46228.0,42739.0,25464.0,281.253199
3462,62.496,51.928999999999995,68.949,87.23200000000001,35.577,162.65,68.635,3.387,92.36399999999999,179.489,36551.0,43567.0,32820.0,3445.8564079999996
3465,69.382,61.472,67.294,77.979,52.148,140.664,77.73100000000001,4.4239999999999995,85.536,179.40599999999998,61310.0,73396.0,52262.0,548.6718556
3466,66.579,52.096000000000004,64.257,53.75899999999999,56.507,151.517,66.15,3.372,116.52,147.549,51503.0,68506.0,56207.0,154.42652019999997
3467,74.84100000000001,37.768,61.981,72.132,45.298,165.15,78.308,2.7460000000000004,99.648,175.265,49013.0,58114.0,45247.0,5298.460061
3468,75.46300000000001,26.156999999999996,55.657,86.255,31.773000000000003,78.45,35.496,2.316,50.492,177.826,105287.0,107103.0,61598.0,423.9937174
3469,73.84100000000001,49.178000000000004,69.267,89.557,31.198,174.657,77.546,4.41,98.4,147.591,29242.0,33175.0,22129.0,726.4107802
3470,75.601,34.452,69.064,83.876,22.613000000000003,198.765,70.402,3.18,123.056,149.21200000000002,39112.0,60281.0,61879.0,839.16663
3471,62.235,45.604,65.624,62.281000000000006,32.357,174.739,66.654,3.5839999999999996,115.647,123.02,93615.0,110894.0,72462.0,201.4203023
3472,73.863,45.016999999999996,71.217,81.27,31.627,183.852,67.652,3.8110000000000004,105.916,105.57700000000001,40384.0,57579.0,56721.0,56861.71987000001
3473,59.568000000000005,39.32,68.558,86.62700000000001,55.144,142.09,70.642,7.004,94.51700000000001,292.363,300000.0,56215.0,34129.0,202.0599553
3474,70.61399999999999,61.63399999999999,68.796,63.886,44.426,158.969,70.643,1.6480000000000001,98.964,111.675,16093.0,28515.0,30557.0,176.1924124
3475,69.502,49.059,66.979,90.64299999999999,44.711999999999996,167.07,75.869,5.797999999999999,100.682,124.038,49743.0,64615.0,55451.0,106035.13699999999
3476,81.384,70.34,59.22,74.755,37.999,172.345,67.48100000000001,1.886,118.976,126.79700000000001,,,,
3477,79.127,52.158,72.562,49.146,16.846,177.543,78.742,3.4989999999999997,98.93799999999999,102.18700000000001,19592.0,34790.0,44806.0,692.8002421
3478,72.273,43.028999999999996,61.31399999999999,87.846,18.939,190.03400000000002,71.119,4.876,100.13600000000001,118.47200000000001,,,,
3479,71.377,32.363,60.224,66.51899999999999,63.044,161.338,63.166000000000004,7.039,124.713,158.731,85573.0,108170.0,75605.0,184.1206795
3480,72.056,48.193000000000005,68.44800000000001,80.58,44.964,168.812,63.896,2.569,103.271,135.64600000000002,82298.0,102646.0,71145.0,580.4999088
3482,70.154,36.51,77.354,97.07799999999999,34.835,184.02,79.375,5.171,112.71600000000001,156.22899999999998,122111.0,120050.0,86339.0,216.92092599999998
